Unnamed: 0,review_id,product_id,reviewer_id,rating,review_text,review_summary,language,price_usd,order_quantity,brand,return_reason,review_clean,sentiment_positive,sentiment_negative,sentiment_compound,review_length,price_bucket_encoded,is_high_value,cat_Clothing & Apparel,cat_Electronics,cat_Home & Kitchen,cat_Skincare & Beauty,return_reason_encoded
368698,en_0234551,product_en_0292566,reviewer_en_0943215,5,"I got these to wear around the house the keep my feet warm on the cold floors. They work great! Size is a little smaller than I anticipated, but once broken in, they are fitting better and better. They are holding up well. Everything is holding together with no issues at all. I'm very happy with them.",Great around the house moccasins,en,136.89,1,Unknown,Defective,got wear around house keep feet warm cold floors work great size little smaller anticipated broken fitting better better holding well everything holding together issues happy,0.0769,0.0385,0.25,57,3,1,True,False,False,False,1
201316,en_0488656,product_en_0220359,reviewer_en_0075992,1,Clock was fine for a while now it just stopped working for no reason,Disappointed,en,63.34,3,Unknown,Defective,clock fine while stopped working reason,0.0,0.0,0.0,14,1,0,False,False,True,False,1
248774,en_0194566,product_en_0919027,reviewer_en_0375717,2,Easily loses its stickiness,Two Stars,en,28.18,1,Unknown,Defective,easily loses stickiness,0.0,0.0,0.0,4,1,0,False,False,False,True,1
218285,en_0153874,product_en_0750332,reviewer_en_0304843,1,Water leak camera destroyed/no company response - I purchased this product for our mission team's GoPro specifically for the water activities we sponsor with the kids. I routinely noticed the battery had a clunky & unfinished feel to it when tryin to utilize with the camera. When we attempted to use it to film water activities the seal failed & the camera & battery were destroyed. Attempted to contact the company through Amazon a week ago but rec'd no response.,"Water leaks, camera destroyed & no company response",en,71.05,3,Unknown,Defective,water leak camera destroyedno company response purchased product mission teams gopro specifically water activities sponsor kids routinely noticed battery clunky unfinished feel tryin utilize camera attempted use film water activities seal failed camera battery destroyed attempted contact company amazon week ago recd response,0.0,0.0,0.0,80,1,0,False,True,False,False,1
200436,en_0635753,product_en_0973283,reviewer_en_0728364,1,I’ve only had this keychain for about two months and within the first two weeks the strings were coming apart and falling off. Wouldn’t buy unless your keys sit on a counter for show,Ehhh..,en,39.23,2,Unknown,Defective,ive only keychain two months within first two weeks strings coming apart falling wouldnt buy unless keys sit counter show,0.0,0.0,0.0,34,1,0,True,False,False,False,1
247032,en_0470475,product_en_0231667,reviewer_en_0404052,2,"Not very comfortable for walking, sole comes out when wet.",Two Stars,en,96.81,1,Unknown,Defective,comfortable walking sole comes wet,0.2,0.0,0.5,10,2,1,True,False,False,False,1
253437,en_0881053,product_en_0456092,reviewer_en_0483956,2,Makes me sleepy in about 30 minutes for maybe 30 minutes. If I miss that window it seems to keep me awake! It helps me to fall asleep (in that window) but does nothing to help me stay asleep.,Makes me sleepy in about 30 minutes for maybe 30 ...,en,77.75,3,Unknown,Defective,makes sleepy minutes maybe minutes miss window seems keep awake helps fall asleep window nothing help stay asleep,0.0,0.0,0.0,39,2,1,False,False,False,True,1
253650,en_0077356,product_en_0807486,reviewer_en_0848874,2,"Ended up returning this, because it was poorly made. Seams started to pull apart on the inside, because the liner was such a thin material.","Good price, but not made to last",en,98.49,1,Unknown,Defective,ended returning because poorly made seams started pull apart inside because liner such thin material,0.0,0.0,0.0,25,2,1,True,False,False,False,1
221338,en_0782757,product_en_0946445,reviewer_en_0047296,1,Placed order in mid JULY and still have not received three items from this Seller. Do not buy!!!!,Product never received,en,119.51,4,Unknown,Defective,placed order mid july still received three items seller buy,0.0,0.0,0.0,18,2,1,False,False,True,False,1
270808,en_0524556,product_en_0182379,reviewer_en_0373029,2,Hat has red ink on it,Dirty,en,82.36,1,Unknown,Defective,hat red ink,0.0,0.0,0.0,6,2,1,True,False,False,False,1
256872,en_0975207,product_en_0897153,reviewer_en_0681839,2,"Works ok but won't connect to WiFi. Very irritating, called customer service and they were no help at all.Going to return it...","Does not work as advertised, no WiFi connectivity.",en,51.78,4,Unknown,Defective,works wont connect wifi irritating called customer service help allgoing return,0.0,0.0909,-0.5,22,1,0,False,False,True,False,1
342118,en_0830409,product_en_0653016,reviewer_en_0566457,4,"Love this case. Looks good, protects the phone, the buttons push easier than with other cases. All things considered, it's a solid case. The one complaint I have (and the only reason I can't give 5 ⭐) is that there's a small piece that holds the kickstand in the right spot while it's open, that peice has broken on both of the cases I've bought.",Solid case with a minor flaw.,en,63.68,2,Unknown,Defective,love case looks good protects phone buttons push easier cases things considered solid case one complaint only reason cant give theres small piece holds kickstand right spot while open peice broken cases ive bought,0.0588,0.0588,0.0,65,1,0,False,True,False,False,1
261869,en_0049996,product_en_0767015,reviewer_en_0472887,2,The glass on the screen is very prone to scratches.,Prone to scratches.,en,149.13,4,Unknown,Defective,glass screen prone scratches,0.0,0.0,0.0,10,3,1,False,True,False,False,1
254688,en_0772372,product_en_0016315,reviewer_en_0881068,2,"After 6 weeks still has smell, also its peeling on the rim, possibly food grade coating","Nice gift , not worth the money",en,133.26,1,Unknown,Defective,weeks still smell peeling rim possibly food grade coating,0.0,0.0,0.0,16,3,1,False,False,True,False,1
235696,en_0987435,product_en_0411276,reviewer_en_0434162,1,Next to useless. Don't try these in a Maine winter.,Useless,en,73.49,3,Unknown,Defective,next useless dont try maine winter,0.0,0.1667,-0.5,10,1,0,True,False,False,False,1
234400,en_0901272,product_en_0460425,reviewer_en_0803226,1,"The image gives the impression that the cord is sturdy but it's just cheap plastic. The sound wasn't anything to write home about. Broke in less then two weeks, not worth buying in the slightest.",Cheap,en,137.93,1,Unknown,Defective,image gives impression cord sturdy cheap plastic sound wasnt anything write home broke less two weeks worth buying slightest,0.0,0.0,0.0,35,3,1,False,True,False,False,1
241273,en_0671120,product_en_0809227,reviewer_en_0499246,2,I gave these shoes two stars because they are Skechers and are no doubt a quality product and nice looking shoes. These shoes have a very hard insole. When I first put them on I took them off to see if I accidentally left cardboard or something in them. I decided to give them a try anyway. After putting about 30 miles on them they never got comfortable. I returned them and will probably never buy shoes on line again.,Very uncomfortable,en,99.39,4,Unknown,Defective,gave shoes two stars because skechers doubt quality product nice looking shoes shoes hard insole first put took see accidentally left cardboard something decided give try anyway putting miles never got comfortable returned probably never buy shoes line,0.0789,0.0526,0.1667,80,2,1,True,False,False,False,1
237313,en_0601611,product_en_0957258,reviewer_en_0731965,1,The product still has not been delivered. A Prime product (two day delivery) has not been delivered in 10 days. The product is great but Amazon has failed with product delivery.,DID NOT DELIVER,en,98.49,2,Unknown,Defective,product still delivered prime product two day delivery delivered days product great amazon failed product delivery,0.0625,0.0,0.5,31,2,1,False,False,False,True,1
201551,en_0560031,product_en_0843800,reviewer_en_0603166,1,"Will not be buying these again. When I walk in them my heels really hurt. I contacted the seller to return my purchase, hopefully I can get my money back. Would not recommend, save your money for a nicer pair of shoes that are comfortable.",Would not recommend buying,en,147.76,4,Unknown,Defective,buying walk heels really hurt contacted seller return purchase hopefully get money back recommend save money nicer pair shoes comfortable,0.1,0.05,0.25,45,3,1,False,False,True,False,1
240518,en_0979324,product_en_0026971,reviewer_en_0600672,2,Nice looking but does not hold up his jeans,Stretches too much,en,134.33,3,Unknown,Defective,nice looking hold his jeans,0.2,0.0,0.5,9,3,1,True,False,False,False,1
211047,en_0238524,product_en_0007035,reviewer_en_0834472,1,"It worked great for a total maybe of 20 minutes, then the brushes stopped spinning. Useless.",Worked great...twice...then broke,en,78.9,4,Unknown,Defective,worked great total maybe minutes brushes stopped spinning useless,0.1111,0.1111,0.0,16,2,1,False,False,True,False,1
217270,en_0208369,product_en_0595261,reviewer_en_0568831,1,Terrible! Lots of bubbles and just won’t adhere! So frustrating!!!!,One Star,en,46.41,3,Unknown,Defective,terrible lots bubbles wont adhere frustrating,0.0,0.1667,-0.5,10,1,0,False,True,False,False,1
274929,en_0295765,product_en_0147990,reviewer_en_0867024,2,"I can't believe the positive reviews I read about this blade. I've compared it with a dozen other brands, and it's the worst I've used. It tugs and yanks the hairs from the first shave to the last. They are not sharp, and I have to make additional passes beyond what I do with any other blade. I'll probably end up giving them away if I can find someone to take them.",Terrible shave from first to last,en,32.69,1,Unknown,Defective,cant believe positive reviews read blade ive compared dozen brands worst ive used tugs yanks hairs first shave last sharp make additional passes beyond blade ill probably end giving away find someone take,0.0,0.0303,-0.5,72,1,0,False,False,False,True,1
217084,en_0941876,product_en_0162896,reviewer_en_0353011,1,My case arrived with a crack on the side rendering it pretty much useless.,... arrived with a crack on the side rendering it pretty much useless,en,26.57,1,Unknown,Defective,case arrived crack side rendering pretty much useless,0.0,0.125,-0.5,14,1,0,False,True,False,False,1
237540,en_0578954,product_en_0445493,reviewer_en_0697063,1,Never received it. No replies back. It was a gift from my father. I keep getting the runaround. Not worth the money!,Not worth the money or time,en,107.89,4,Unknown,Defective,never received replies back gift father keep getting runaround worth money,0.0,0.0909,-0.5,22,2,1,False,False,True,False,1
